Business Communication (BCOM)
Term 1
PCOM 0203," Effective Professional Writing; Reports~> Proposals~> Plans~> and More.",15
SUPR 0751,Fundamentals of Management and Supervision (2 hr timeslot) ,7
PCOM 0204,Business Persuasion and Research,35
CMSK 0237,Google Suite Essentials (ONLINE ONLY) - Do not schedule immediately before or after other courses. ,12
SUPR 0837,Building an Engaged Workforce (2 hr timeslot),7
SUPR 0841,Change Management Fundamentals (2 hr timeslot),7
Term 2
SUPR 0821,Foundations of Leadership I (2 hr timeslot),7
SUPR 0822,Foundations of Leadership II (2 hr timeslot),7
SUPR 0718,Coaching for Performance (2 hr timeslot) ,7
SUPR 0836 ,Hiring for success (2 hr timeslot) ,7
AVDM 0199 ,  Digital Marketing  101 - (ONLINE ONLY) - Do not schedule immediately before or after other courses.,3
PCOM 0106,Operations Management (2 hr timelslot - schedule for 17 sessions),35
Term 3
PCOM 0205,Small Businesses and Entrepreneurship in Canada (3 hr timeslots) ,30
PCOM TBD,Story Telling (Public Speaking),21
PCOM 0207,Developing Your Emotional Intelligence (2hr timeslot),6
SUPR 0863,Design Thinking (2 hr timeslot),7
PCOM 0206,Fundamentals of Agile Methdology (3 hr timeslot) ,6
AVDM 0260," WordPress for Web Page Publishing  Online Only. - Schedule after all classes are done~> end of the term",6
