Color Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class runs in a lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class runs in a lab and Classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online only course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management (PM)  Courses ,,,Transcript Hours,,Business Analysis (BA)  Courses,,,Transcript Hours,,Supply Chain Management & Logistics (GLM),,,Transcript Hours,,Full Stack Web Development (FS),,,Transcript Hours,Pre-requisites,,Digital Experience Design Foundation (DXD),,,Transcript Hours,Pre-requisites,,BookKeeping Certificate ,,,Transcript Hours
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term 1,PRDV 0201,The Basics of Project Management,21,,Term 1,PRDV 0640,The Basics of Business Analysis,21,,Term 1,SCMT 0501,Fundamentals of Supply Chain,21,,Term 1,CMSK?0150?,Introduction to Web Development (2 hour timeslots),16,,,Term 1,,,,,,Term 1,ACCT 0201,Bookkeeping Basics,18
,,,,,,PRDV 0652,Business Analysis Planning & Monitoring ,14,,,SCMT 0502,"Supply Chain Strategy, Design, and Warehousing",21,,,CMSK?0151??,HTML/CSS Fundamentals? (2 hour timelsots) ,16,,,,AVDM 0165,Adobe Photoshop,18,,,,ACCT 0202,Accounting Basics,12
,PRDV 0202,Project Scope and Quality,14,,,PRDV 0653,Strategy Analysis  ,21,,,PRDV 0304,Intelligent Supply Chain,15,,,CMSK? 0152???,Introduction to JavaScript? (2 hour timeslots) ,16, CMSK 0151 ,,,DXDI 0101,Digital Experience Design Basics I,24,,,,ACCT 0203,Understanding Financial Statements,12
,,,,,,,,,,,SCMT 9901,International Transport and Trade (Virtual Course with CIFA; No scheduling required),50,,,CMSK? 0157??? ,Introduction to Azure DevOps? (2 hour timeslots) ,16, Recommended to run at the same time as CMSK0154 (Intro to C#) ,,,DXDI 0102,Digital Experience Design Basics II,24,DXDI 0101,,,,Total Term Bookkeeping Courses,42
,PRDV 0203,Fundamentals of Project Planning ,21,,,PRDV 0642,Elicitation and Collaboration ,14,,,,Total Term 1 GLM Courses,107,,,CMSK??0154??? ,Introduction to C#? (2 hour timelsots) ,16,Recommended to run at the same time as CMSK0157 (Intro to Azure),,,,Total Term 1 DXD Courses,66,,,Term 2,ACCT 0206,Controllership for SMEs ,12
,,Total Term 1 PM Courses ,56,,,,Total Term 1 BA Courses,70,,Term 2,SCMT 0503,Supply Chain Dynamics and Risks ,15,,,,Total Term 1 FS Courses,80,,,Term 2,AVDM 0170,Adobe Illustrator Level I,18,,,,ACCT 0210,Quickbooks,28
Term 2,PRDV 0204,Working with Stakeholders ,14,,Term 2,PRDV 0644,Requirements Analysis & Design Definition ,21,,,SCMT 0504,"Foundations of Inventory, Operations, Planning and Control",21,,Term 2,CMSK??0153????,Introduction to Angular? (2 hour timeslot) ,18," CMSK0151 (HTML/CSS), CMSK0152 (JavaScript), CMSK0157 (Azure Devops)  ",,,AVDM 0138,Adobe InDesign Level I,18,,,,ACCT 0211,SAGE 50 & Data Analytics,28
,PRDV 0205,Leading and Managing a Team,21,,,PRDV 0648,Requirements Life Cycle Management ,14,,,SCMT 9902,Essentials of Freight Forwarding (Virtual Course with CIFA; No scheduling required),50,,,CMSK? 0200??? ,Advanced C#? (2 hour timeslots) ,16, CMSK 0154 ,,,DXDI 0103,User Interface Design I,24, DXDI 0102  ,,,,Total Term 2 Bookkeeping Courses,68
