Project Management (PM)  Courses, Transcript Hours
Term 1
PRDV 0201, The Basics of Project Management,21		
PRDV 0202,Project Scope and Qualit,14	
PRDV 020,Fundamentals of Project Planning,21
Term 2
PRDV 0204,Working with Stakeholders,14
PRDV 0205,Leading and Managing a Team,21
PCOM 0130,PM Capstone I - Class should be schedule twice a week half way the term,21
PRDV 0206,Managing Risk on Projects,14
Term 3
PRDV 0207,Measuring and Reporting on Project Activity,14
PCOM 0131,PM Capstone Project - 13 sessions~> 3 hours each,39
Business Analysis (BA)  Courses,Transcript Hours	
Term 1	
PRDV 0640,The Basics of Business Analysis,21
PRDV 0652,Business Analysis Planning & Monitoring ,14
PRDV 0653,Strategy Analysis,21
PRDV 0642,Elicitation and Collaboration 	14
Term 2
PRDV 0644,Requirements Analysis & Design Definition,21
PRDV 0648,Requirements Life Cycle Management,14
PCOM 0140,BA Capstone I - Class should be schedule twice a week half way the term,35
Term 3
PRDV 0646,Solution Evaluation,14
PCOM 0141,BA Capstone Project -  13 sessions~> 3 hours each,39
Supply Chain Management & Logistics (GLM),Transcript Hours
Term 1
SCMT 0501,Fundamentals of Supply Chain,21
SCMT 0502,Supply Chain Strategy- Design- and Warehousing,21
PRDV 0304,Intelligent Supply Chain,15
SCMT 9901,International Transport and Trade (Virtual Course with CIFA; No scheduling required),50
Term 2
SCMT 0503,Supply Chain Dynamics and Risks,15
SCMT 0504,Foundations of Inventory, Operations, Planning and Control,21
SCMT 9902,Essentials of Freight Forwarding (Virtual Course with CIFA; No scheduling required),50
Term 3
SCMT 0505,Fundamentals of Supply Chain Analytics,21
PCOM 0151,Capstone Project -  13 sessions~> 3 hours each,39			
BookKeeping Certificate,Transcript Hours	
Term 1
ACCT 0201,Bookkeeping Basics,18
ACCT 0202,Accounting Basics,12
ACCT 0203,Understanding Financial Statements,12
Term 2
ACCT 0206,Controllership for SMEs,12
ACCT 0210,Quickbooks,28
ACCT 0211,SAGE 50 & Data Analytics,28
Term 3
ACCT 0208,Accounting for Entrepreneurs,21
ACCT 9901,Integrated Case Studies in Accounting,33
